Designator,Footprint,Quantity,Value,LCSC Part #
"+12V, +18V, VIN, VOUT",TE_282834-2,4,TB002-500-02BE,
"C1, C2, C3, C32, C4, C5, C6",CP_Elec_6.3x5.8,7,100u,
"C10, C11",0402,2,1u,
C12,0603,1,0.1u,
C13,0402,1,820p,
"C14, C7",0603,2,10u,
C15,0603,1,0.15u,
C16,0603,1,220n,
C17,0603,1,680p,
C18,0603,1,4.7u,
"C19, C20",0805,2,10u,
"C21, C28",1206,2,22u,
"C22, C23, C30, C31, C9",0402,5,0.1u,
C24,0201,1,470p,
C25,0201,1,6.8n,
C26,0402,1,100p,
"C27, C33",0402,2,4.7n,
C29,1210,1,47u,
C8,0603,1,1.5u,
D1,D_SOD-123,1,D_Zener,
"D2, D4",TO-252-2_TabPin1,2,D_Schottky,
"D3, D7",0805,2,LED,
D5,D_SMB_Handsoldering,1,D_TVS,
D6,D_SOD-123,1,3.3,
F1,1206,1,Fuse,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,B5B-XH-A,
J5,CONN_BM06B-SRSS-TB_JST,1,BM06B-SRSS-TBLFSN,
J6,JST_B4B-XH-A,1,B4B-XH-A,
L1,L_Vishay_IHLP-5050,1,10u,
L2,L_Vishay_IHLP-4040,1,4.7u,
"Q1, Q2",Infineon_PG-TDSON-8_6.15x5.15mm,2,BSC035N04LS G,
R1,0603,1,226k,
"R10, R12, R17, R22",0603,4,100k,
R11,0402,1,50k,
R13,0402,1,3.3k,
R14,0603,1,150k,
R15,0402,1,10k,
R16,0402,1,10m,
R18,0402,1,11k,
R19,0402,1,1k,
R2,0603,1,64.9k,
R20,0402,1,3,
R21,0402,1,698,
R3,0603,1,1.2k,
R4,0603,1,100,
R5,0603,1,44.8k,
R6,0402,1,340k,
R7,0402,1,20k,
R8,2512,1,15m,
R9,0402,1,0,
RLED1,0402,1,4k,
S1,SW_100SP1T1B4M2QE,1,100SP1T1B4M2QE,
U1,WSON_551DSSR_TEX,1,LM5155_DSSR,
U2,RYQ0021A-MFG,1,TPS552892RYQR,
