Designator,Mid X,Mid Y,Rotation,Layer
+12V,138.115,-98.811,180.0,top
+18V,145.1,-98.811,180.0,top
C1,143.0794,-86.289,0.0,top
C10,163.3994,-85.089,270.0,top
C11,165.3044,-77.949,270.0,top
C12,163.3994,-78.739,270.0,top
C13,167.2094,-85.089,270.0,top
C14,181.61,-71.12,180.0,top
C15,172.72,-80.009,0.0,top
C16,171.0194,-83.324,270.0,top
C17,169.1144,-83.324,270.0,top
C18,112.715,-77.8325,90.0,top
C19,120.08,-82.716,0.0,top
C2,143.0794,-78.669,0.0,top
C20,119.8925,-84.966,0.0,top
C21,119.28,-87.266,0.0,top
C22,123.3885,-74.566,0.0,top
C23,119.7385,-74.566,180.0,top
C24,117.3225,-81.216,180.0,top
C25,117.2975,-80.366,180.0,top
C26,116.48,-75.916,180.0,top
C27,129.124,-77.916,0.0,top
C28,124.48,-82.866,180.0,top
C29,124.28,-85.866,180.0,top
C3,134.614,-80.574,270.0,top
C30,128.1975,-82.17,0.0,top
C31,179.07,-89.535,270.0,top
C32,187.325,-71.12,90.0,top
C33,179.705,-86.995,90.0,top
C4,135.639,-70.089,90.0,top
C5,156.204,-92.639,180.0,top
C6,153.2394,-84.454,180.0,top
C7,149.3694,-99.389,90.0,top
C8,151.3044,-99.389,90.0,top
C9,153.1794,-98.811,90.0,top
D1,174.8294,-83.564,270.0,top
D2,151.9694,-62.349,90.0,top
D3,157.016,-100.259,180.0,top
D4,143.884,-66.604,90.0,top
D5,143.504,-92.639,0.0,top
D6,115.255,-70.756,90.0,top
D7,132.715,-86.995,180.0,top
F1,149.854,-91.369,270.0,top
J1,129.225,-96.906,270.0,top
J2,171.81,-98.6335,180.0,top
J5,128.27,-92.71,0.0,top
J6,170.795,-91.826,0.0,top
L1,165.661,-65.969,90.0,top
L2,122.875,-68.466,0.0,top
Q1,150.815,-74.681,90.0,top
Q2,179.705,-66.04,0.0,top
R1,172.8165,-74.294,0.0,top
R10,116.48,-77.516,0.0,top
R11,117.08,-82.216,180.0,top
R12,116.5175,-79.116,0.0,top
R13,113.985,-73.806,0.0,top
R14,128.08,-76.516,0.0,top
R15,126.685,-77.916,0.0,top
R16,128.1825,-84.6535,0.0,top
R17,130.23,-83.3535,90.0,top
R18,127.32,-78.966,0.0,top
R19,128.9025,-86.875,0.0,top
R2,172.8165,-76.199,0.0,top
R20,128.905,-85.725,0.0,top
R21,113.35,-70.871,90.0,top
R22,177.165,-71.755,270.0,top
R3,166.5744,-81.279,90.0,top
R4,165.3044,-85.089,90.0,top
R5,172.8165,-78.104,0.0,top
R6,176.7344,-83.2215,270.0,top
R7,172.9244,-82.549,270.0,top
R8,160.2244,-85.089,270.0,top
R9,168.649,-74.859,180.0,top
RLED1,157.2565,-98.354,180.0,top
S1,184.15,-80.01,270.0,top
U1,168.043663,-77.469,0.0,top
U2,121.605,-78.741,0.0,top
VIN,183.515,-88.265,180.0,top
VOUT,175.895,-55.88,180.0,top
